[0.000000] (-) TimerEvent: {}
[0.000375] (-) JobUnselected: {'identifier': 'Eigen3'}
[0.000584] (-) JobUnselected: {'identifier': 'bes_transmit'}
[0.000632] (-) JobUnselected: {'identifier': 'black_box'}
[0.000669] (-) JobUnselected: {'identifier': 'cpp_httplib'}
[0.001020] (-) JobUnselected: {'identifier': 'cyberdog_bringup'}
[0.001255] (-) JobUnselected: {'identifier': 'cyberdog_color_detector_py'}
[0.001293] (-) JobUnselected: {'identifier': 'cyberdog_common'}
[0.001330] (-) JobUnselected: {'identifier': 'cyberdog_debug'}
[0.001375] (-) JobUnselected: {'identifier': 'cyberdog_description'}
[0.001427] (-) JobUnselected: {'identifier': 'cyberdog_embed_protocol'}
[0.001451] (-) JobUnselected: {'identifier': 'cyberdog_example'}
[0.001464] (-) JobUnselected: {'identifier': 'cyberdog_grpc'}
[0.001483] (-) JobUnselected: {'identifier': 'cyberdog_locomotion'}
[0.001502] (-) JobUnselected: {'identifier': 'cyberdog_machine'}
[0.001515] (-) JobUnselected: {'identifier': 'cyberdog_manager'}
[0.001528] (-) JobUnselected: {'identifier': 'cyberdog_msg'}
[0.001581] (-) JobUnselected: {'identifier': 'cyberdog_parameter'}
[0.001617] (-) JobUnselected: {'identifier': 'cyberdog_permission'}
[0.001630] (-) JobUnselected: {'identifier': 'cyberdog_simulator'}
[0.001647] (-) JobUnselected: {'identifier': 'cyberdog_system'}
[0.001660] (-) JobUnselected: {'identifier': 'cyberdog_visual'}
[0.001672] (-) JobUnselected: {'identifier': 'elec_skin'}
[0.001683] (-) JobUnselected: {'identifier': 'filesystem'}
[0.001694] (-) JobUnselected: {'identifier': 'lcm'}
[0.001705] (-) JobUnselected: {'identifier': 'low_power_consumption'}
[0.001715] (-) JobUnselected: {'identifier': 'manager_base'}
[0.001725] (-) JobUnselected: {'identifier': 'motion_action'}
[0.001736] (-) JobUnselected: {'identifier': 'motion_bridge'}
[0.001746] (-) JobUnselected: {'identifier': 'motion_manager'}
[0.001757] (-) JobUnselected: {'identifier': 'motion_utils'}
[0.001767] (-) JobUnselected: {'identifier': 'mqttc'}
[0.001777] (-) JobUnselected: {'identifier': 'nvinference'}
[0.001787] (-) JobUnselected: {'identifier': 'params'}
[0.001797] (-) JobUnselected: {'identifier': 'protocol'}
[0.001830] (-) JobUnselected: {'identifier': 'rapidjson'}
[0.001913] (-) JobUnselected: {'identifier': 'skin_manager'}
[0.001946] (-) JobUnselected: {'identifier': 'toml'}
[0.001990] (-) JobUnselected: {'identifier': 'user_info_manager'}
[0.002028] (-) JobUnselected: {'identifier': 'xpack'}
[0.002042] (-) JobUnselected: {'identifier': 'zxing'}
[0.002058] (cyberdog_gazebo) JobQueued: {'identifier': 'cyberdog_gazebo', 'dependencies': OrderedDict([('cyberdog_msg', '/home/install')])}
[0.002082] (cyberdog_gazebo) JobStarted: {'identifier': 'cyberdog_gazebo'}
[0.017966] (cyberdog_gazebo) JobEnded: {'identifier': 'cyberdog_gazebo', 'rc': 1}
[0.028439] (-) EventReactorShutdown: {}
